"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\my1stclicker\index.html", "HTML", 0, 0, 0, 124, 0, -4, 6, 126
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\main.css", "CSS", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\miscellaneous.css", "CSS", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\automation.js", "JavaScript", 0, -6, 0, 0, 0, -88, -11, -105
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\changelog.md", "Markdown", 0, 0, 0, 0, -121, 0, -9, -130
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\changelogru.md", "Markdown", 0, 0, 0, 0, -121, 0, -16, -137
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\endscreen.css", "CSS", 0, 0, -27, 0, 0, 0, -3, -30
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\fortune.css", "CSS", 0, 0, -8, 0, 0, 0, 0, -8
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\pisanina.js", "JavaScript", 0, -4, 0, 0, 0, -388, -25, -417
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\prestige.css", "CSS", 0, 0, -76, 0, 0, 0, -1, -77
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\prestige.js", "JavaScript", 0, 0, 0, 0, 0, -119, -8, -127
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\upgrades.js", "JavaScript", 0, -564, 0, 0, 0, 0, -42, -606
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\vars.js", "JavaScript", 0, -13, 0, 0, 0, 0, -2, -15
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\achievements.js", "JavaScript", 0, -16, 0, 0, 0, 6, -4, -14
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\changelog.js", "JavaScript", 0, -11, 0, 0, 0, 0, -2, -13
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\clicker.js", "JavaScript", 0, 438, 0, 0, 0, 2, -21, 419
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\en.json", "JSON", -27, 0, 0, 0, 0, 0, -1, -28
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\functions.js", "JavaScript", 0, -474, 0, 0, 0, -13, -19, -506
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\languages.js", "JavaScript", 0, 83, 0, 0, 0, -5, -27, 51
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\layers.js", "JavaScript", 0, 23, 0, 0, 0, 0, -4, 19
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\ru.json", "JSON", -25, 0, 0, 0, 0, 0, -2, -27
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\saving.js", "JavaScript", 0, -530, 0, 0, 0, 0, -82, -612
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\upgrades2.0.js", "JavaScript", 0, 676, 0, 0, 0, -9, -64, 603
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\variables.js", "JavaScript", 0, 651, 0, 0, 0, 0, 4, 655
"c:\Users\User\Documents\GitHub\my1stclicker\package-lock.json", "JSON", 2585, 0, 0, 0, 0, 0, 0, 2585
"c:\Users\User\Documents\GitHub\my1stclicker\package.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 2535, 253, -105, 124, -242, -618, -331, 1616
